customer_id,name,email,city,age,acquisition_channel,signup_date,customer_segment,high_engagement,total_orders,total_spend,last_order_date
CUST00001,Customer 1,customer1@example.com,Chennai,33,Google,2025-03-13,High Value,True,6.0,19790.0,2026-06-10
CUST00002,Customer 2,customer2@example.com,Bangalore,55,Referral,2025-01-17,Price Sensitive,False,1.0,6997.0,2026-01-04
CUST00003,Customer 3,customer3@example.com,Hyderabad,53,Google,2026-01-02,New Customer,False,1.0,9497.0,2026-02-27
CUST00004,Customer 4,customer4@example.com,Delhi,46,YouTube,2025-05-23,High Value,True,6.0,29185.0,2026-08-22
CUST00005,Customer 5,customer5@example.com,Mumbai,45,Organic,2025-05-23,Window Shopper,True,0.0,0.0,2025-05-23
CUST00006,Customer 6,customer6@example.com,Pune,24,Instagram,2025-07-14,New Customer,False,2.0,9996.0,2026-04-16
CUST00007,Customer 7,customer7@example.com,Chennai,20,Direct,2025-08-24,New Customer,False,1.0,3999.0,2025-12-29
CUST00008,Customer 8,customer8@example.com,Kolkata,23,YouTube,2025-05-31,High Value,False,2.0,7997.0,2026-03-05
CUST00009,Customer 9,customer9@example.com,Pune,54,Google,2025-12-27,Window Shopper,False,0.0,0.0,2025-12-27
CUST00010,Customer 10,customer10@example.com,Chennai,23,Google,2026-03-20,New Customer,False,1.0,2798.0,2025-04-30
CUST00011,Customer 11,customer11@example.com,Pune,28,Organic,2025-07-01,New Customer,False,1.0,3998.0,2025-07-16
CUST00012,Customer 12,customer12@example.com,Bangalore,28,YouTube,2026-01-09,New Customer,False,1.0,999.0,2025-05-25
CUST00013,Customer 13,customer13@example.com,Chennai,53,Google,2025-12-17,New Customer,False,0.0,0.0,2025-12-17
CUST00014,Customer 14,customer14@example.com,Hyderabad,32,Instagram,2026-02-17,Repeat Buyer,False,2.0,5997.0,2025-07-14
CUST00015,Customer 15,customer15@example.com,Delhi,54,Direct,2025-06-11,Repeat Buyer,True,4.0,19990.0,2026-08-11
CUST00016,Customer 16,customer16@example.com,Ahmedabad,27,Organic,2025-03-13,New Customer,False,1.0,2698.0,2025-11-24
CUST00017,Customer 17,customer17@example.com,Chennai,55,Referral,2026-04-05,New Customer,False,1.0,6397.0,2025-03-24
CUST00018,Customer 18,customer18@example.com,Mumbai,50,Referral,2025-02-16,High Value,True,5.0,15290.0,2025-12-09
CUST00019,Customer 19,customer19@example.com,Mumbai,28,Direct,2025-08-05,Price Sensitive,False,3.0,8495.0,2026-07-19
CUST00020,Customer 20,customer20@example.com,Ahmedabad,51,Organic,2026-05-13,High Value,True,5.0,23389.0,2025-10-11
CUST00021,Customer 21,customer21@example.com,Bangalore,52,Organic,2026-01-29,High Value,False,6.0,24688.0,2026-01-25
CUST00022,Customer 22,customer22@example.com,Kolkata,28,Referral,2025-01-02,High Value,True,6.0,18189.0,2026-07-05
CUST00023,Customer 23,customer23@example.com,Chennai,50,Google,2025-09-17,Dormant,False,0.0,0.0,2025-09-17
CUST00024,Customer 24,customer24@example.com,Chennai,50,YouTube,2025-04-12,Window Shopper,False,0.0,0.0,2025-04-12
CUST00025,Customer 25,customer25@example.com,Hyderabad,38,Referral,2025-01-10,New Customer,False,1.0,2499.0,2026-01-01
CUST00026,Customer 26,customer26@example.com,Chennai,33,Instagram,2025-05-04,New Customer,False,1.0,6797.0,2026-04-23
CUST00027,Customer 27,customer27@example.com,Bangalore,49,Instagram,2026-05-16,Window Shopper,False,0.0,0.0,2026-05-16
CUST00028,Customer 28,customer28@example.com,Mumbai,48,YouTube,2025-03-26,Price Sensitive,False,0.0,0.0,2025-03-26
CUST00029,Customer 29,customer29@example.com,Kolkata,31,YouTube,2026-01-22,New Customer,False,2.0,9796.0,2026-06-08
CUST00030,Customer 30,customer30@example.com,Chennai,43,Direct,2025-11-29,Price Sensitive,False,2.0,10696.0,2026-07-30
CUST00031,Customer 31,customer31@example.com,Ahmedabad,25,Google,2025-04-26,Repeat Buyer,False,2.0,8497.0,2026-01-01
CUST00032,Customer 32,customer32@example.com,Delhi,55,Google,2025-01-04,New Customer,True,1.0,1198.0,2026-03-06
CUST00033,Customer 33,customer33@example.com,Delhi,22,Instagram,2026-03-17,New Customer,False,1.0,3798.0,2026-06-26
CUST00034,Customer 34,customer34@example.com,Chennai,49,Google,2025-10-04,Repeat Buyer,True,5.0,14491.0,2026-02-18
CUST00035,Customer 35,customer35@example.com,Ahmedabad,33,Referral,2026-02-18,New Customer,False,1.0,5798.0,2026-02-14
CUST00036,Customer 36,customer36@example.com,Kolkata,40,Referral,2025-07-30,Repeat Buyer,True,3.0,6996.0,2026-03-19
CUST00037,Customer 37,customer37@example.com,Bangalore,21,Referral,2026-01-08,Repeat Buyer,False,4.0,19793.0,2026-07-14
CUST00038,Customer 38,customer38@example.com,Delhi,30,Google,2025-10-02,Repeat Buyer,False,4.0,15492.0,2026-05-13
CUST00039,Customer 39,customer39@example.com,Chennai,47,Google,2026-03-24,Repeat Buyer,True,3.0,8993.0,2026-03-09
CUST00040,Customer 40,customer40@example.com,Bangalore,21,Direct,2025-10-04,Dormant,False,1.0,4698.0,2026-04-30
CUST00041,Customer 41,customer41@example.com,Delhi,28,Referral,2025-09-06,Window Shopper,False,0.0,0.0,2025-09-06
CUST00042,Customer 42,customer42@example.com,Hyderabad,28,Referral,2025-01-02,Repeat Buyer,False,3.0,11095.0,2026-08-16
CUST00043,Customer 43,customer43@example.com,Ahmedabad,36,Referral,2025-12-23,Dormant,False,0.0,0.0,2025-12-23
CUST00044,Customer 44,customer44@example.com,Ahmedabad,27,Google,2025-06-01,Dormant,False,0.0,0.0,2025-06-01
CUST00045,Customer 45,customer45@example.com,Hyderabad,38,Instagram,2025-01-26,New Customer,True,0.0,0.0,2025-01-26
CUST00046,Customer 46,customer46@example.com,Mumbai,21,YouTube,2025-02-11,High Value,True,7.0,20589.0,2026-07-08
CUST00047,Customer 47,customer47@example.com,Bangalore,33,Referral,2025-03-03,Window Shopper,True,1.0,1499.0,2026-07-24
CUST00048,Customer 48,customer48@example.com,Hyderabad,23,Referral,2025-12-03,Dormant,False,1.0,2499.0,2025-06-14
CUST00049,Customer 49,customer49@example.com,Chennai,31,Direct,2026-01-02,High Value,True,4.0,12891.0,2026-04-01
CUST00050,Customer 50,customer50@example.com,Mumbai,37,Referral,2025-06-11,Repeat Buyer,True,3.0,7997.0,2026-06-17
CUST00051,Customer 51,customer51@example.com,Hyderabad,47,YouTube,2025-10-16,Dormant,False,1.0,899.0,2026-03-11
CUST00052,Customer 52,customer52@example.com,Delhi,50,Organic,2025-03-09,Dormant,True,0.0,0.0,2025-03-09
CUST00053,Customer 53,customer53@example.com,Delhi,41,Organic,2025-03-22,Dormant,False,1.0,5397.0,2026-03-12
CUST00054,Customer 54,customer54@example.com,Chennai,51,Instagram,2025-12-08,Repeat Buyer,True,5.0,17991.0,2026-03-22
CUST00055,Customer 55,customer55@example.com,Bangalore,26,Organic,2025-03-01,Window Shopper,False,0.0,0.0,2025-03-01
CUST00056,Customer 56,customer56@example.com,Mumbai,35,Organic,2025-11-06,Window Shopper,False,0.0,0.0,2025-11-06
CUST00057,Customer 57,customer57@example.com,Chennai,50,Referral,2025-05-09,New Customer,False,1.0,1799.0,2025-03-28
CUST00058,Customer 58,customer58@example.com,Bangalore,45,Organic,2025-01-23,Window Shopper,False,0.0,0.0,2025-01-23
CUST00059,Customer 59,customer59@example.com,Chennai,28,Direct,2025-08-15,New Customer,False,1.0,999.0,2025-05-15
CUST00060,Customer 60,customer60@example.com,Hyderabad,25,Instagram,2026-04-29,High Value,True,5.0,18389.0,2026-06-02
CUST00061,Customer 61,customer61@example.com,Hyderabad,41,YouTube,2025-10-10,Window Shopper,False,1.0,3798.0,2026-02-16
CUST00062,Customer 62,customer62@example.com,Chennai,41,Instagram,2026-04-06,New Customer,True,1.0,3999.0,2026-01-01
CUST00063,Customer 63,customer63@example.com,Bangalore,40,YouTube,2026-03-29,Repeat Buyer,True,5.0,13093.0,2026-08-14
CUST00064,Customer 64,customer64@example.com,Mumbai,33,Google,2026-05-15,Window Shopper,False,0.0,0.0,2026-05-15
CUST00065,Customer 65,customer65@example.com,Kolkata,19,Google,2026-01-13,Price Sensitive,True,3.0,6797.0,2026-05-26
CUST00066,Customer 66,customer66@example.com,Kolkata,33,Organic,2025-03-23,Dormant,False,0.0,0.0,2025-03-23
CUST00067,Customer 67,customer67@example.com,Hyderabad,48,Google,2025-04-13,Price Sensitive,True,1.0,3798.0,2025-07-05
CUST00068,Customer 68,customer68@example.com,Chennai,32,Google,2025-01-13,Window Shopper,False,1.0,2499.0,2025-12-20
CUST00069,Customer 69,customer69@example.com,Chennai,22,Organic,2025-06-29,Price Sensitive,False,1.0,1698.0,2025-07-25
CUST00070,Customer 70,customer70@example.com,Pune,19,Instagram,2026-03-26,High Value,True,6.0,16891.0,2025-11-27
CUST00071,Customer 71,customer71@example.com,Chennai,20,Instagram,2025-11-02,Dormant,True,0.0,0.0,2025-11-02
CUST00072,Customer 72,customer72@example.com,Pune,45,YouTube,2025-09-19,Repeat Buyer,False,2.0,7796.0,2026-05-09
CUST00073,Customer 73,customer73@example.com,Delhi,34,Instagram,2025-12-29,New Customer,False,1.0,1598.0,2026-04-23
CUST00074,Customer 74,customer74@example.com,Delhi,41,Referral,2025-02-05,Repeat Buyer,True,4.0,13792.0,2026-05-12
CUST00075,Customer 75,customer75@example.com,Pune,25,Direct,2026-04-06,Dormant,False,1.0,999.0,2025-05-09
CUST00076,Customer 76,customer76@example.com,Kolkata,38,Referral,2025-12-23,Repeat Buyer,True,3.0,7494.0,2026-06-02
CUST00077,Customer 77,customer77@example.com,Kolkata,42,Direct,2026-01-19,New Customer,True,1.0,3398.0,2026-05-11
CUST00078,Customer 78,customer78@example.com,Chennai,43,YouTube,2026-03-03,Window Shopper,False,0.0,0.0,2026-03-03
CUST00079,Customer 79,customer79@example.com,Kolkata,55,YouTube,2025-12-02,New Customer,False,1.0,9497.0,2025-07-16
